"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","pct_Barrest","pct_Warrest","prop_Barr","prop_Warr","prop_arr","SIR_Barr","SIR_Warr","SIR_arr","RE_tot","RE_B","RE_W"
10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,58.2051745974308,41.7948254025692,45.6027597939606,84.2963143169931,52.58317211633,4.02663555991805,38.3760678970223,15.3763580834575,0.637653470039368,-0.0610214583575726,0.89715164899826
10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,52.9149371166594,46.7133387026826,43.3480533983047,121.007863906275,58.7101233130843,3.82744438614565,54.9939393750557,17.1657400622227,0.98656165599823,1.06724166870117,1.18422150611877
10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,51.8891843423412,47.7397810896048,37.0730414033847,137.586882908572,56.2024260540127,3.27355659099906,62.4792834369542,16.4332873691039,-0.662951409816742,-0.157195404171944,-0.794930696487427
10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,51.7227150814937,48.2085138573688,41.8918166118879,110.202798302154,59.0552780147029,3.6987217094113,50.0907096674723,17.2645895772702,1.14648985862732,1.81581830978394,1.09424817562103
10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,53.810623556582,46.1038405611154,38.6577346198759,95.2128599187423,52.8457122191583,3.41302370843193,43.2399303500495,15.447244174921,2.6075119972229,2.71384859085083,2.36223745346069
10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,49.5273610267973,49.7788569941896,44.6756904780534,67.9209560998698,53.3524593956781,3.94382030776937,30.9257119296499,15.5949009220822,-0.921723067760468,-0.918111145496368,-0.873205363750458
10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,52.9313360200745,46.7645046004106,55.2775792232547,69.7199863961002,58.5720012471605,4.87967443270773,31.7518637526169,17.1214075915824,2.42543649673462,3.30372285842896,2.07282876968384
10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,54.0778536745947,45.59295531232,53.6282752428373,61.1411543979693,53.9736129003598,4.73399906346418,27.8486187315424,15.7772878399613,0.93731701374054,1.24564111232758,1.2482442855835
10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,47.5057059015324,51.8421910661885,36.9681076051096,50.5778814547768,40.5804772617,3.26325839021351,23.0416961423538,11.8623805807212,2.29741430282593,1.96903300285339,2.0417914390564
10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,54.4755459858505,45.2168563518917,9.33003004585947,10.6052954332299,9.87811920610316,0.823788433402733,4.83874700601777,2.88866489672784,2.29011869430542,2.42697381973267,2.22757053375244
10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,69.751345808767,30.248654191233,14.9854002534296,7.33329190230564,11.336879741868,1.32310069380861,3.34736405976006,3.31537529885077,-0.499782979488373,-0.334478348493576,-0.925226747989655
10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,71.5302491103203,28.4697508896797,11.5822021906609,5.50653901508041,8.75329310784397,1.02264482032753,2.51347403049176,2.5598806641625,-1.60900962352753,-1.78625571727753,-1.73650693893433
10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,57.291996203733,42.708003796267,9.19668716020528,8.4900320734545,8.80934459591313,0.812027107710626,3.87524271255326,2.57630555048042,0.877160727977753,1.04137110710144,0.265163540840149
10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,62.9190151290418,37.0809848709582,11.4961227699149,7.44890054227996,9.11032413289719,1.01503002509286,3.40052290740378,2.66439097397265,1.86987447738647,2.28017950057983,1.8044022321701
10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,64.6965489884966,34.9067830226101,8.73479449118483,5.24402598176509,6.80510923280495,0.771227241459847,2.39396812681226,1.99021311510917,-0.0442225411534309,-0.446055561304092,0.240906447172165
10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,58.7371919135973,40.9858764885073,14.7416730408177,7.43307719351112,9.90642408276392,1.30143420257752,3.3947193672033,2.89718371488915,1.12068831920624,1.59597253799438,0.915092587471008
10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,56.0550150956055,43.9449849043945,12.5460145744121,6.5660869129367,8.27065582415143,1.10754715221536,2.99877454471497,2.41877369882781,1.50090754032135,2.04542946815491,1.17950713634491
10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,62.6658438753471,37.025609379821,15.2734933413588,6.12838976558909,9.24895092917702,1.34832452040356,2.7987569980747,2.7048179862342,0.577906489372253,0.928517460823059,0.292569041252136
10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,70.6785814018431,28.7629153867635,9.64875481484306,4.39213679587224,7.0139691620462,0.852027243520456,2.00658797504419,2.05172558517744,0.718494653701782,1.31515526771545,0.460257917642593
10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873,70.0990469071202,29.1534292655578,13.893520062243,7.09381110454277,10.6148687526041,1.2268690295197,3.24046269856904,3.10503856273373,-1.83612430095673,-1.96836924552917,-1.63671958446503
10300,2012,391,196,587,37,129,4821,2246,2427,0.465878448,0.503422526,66.6155680463294,33.3844319536706,16.1097606196696,8.72623658786341,12.1756445624443,1.42252817768614,3.98632639616129,3.56150265627942,-2.67114186286926,-1.70385777950287,-2.71713924407959
